col1, col2, col3, col4, col5, pk, col1, col2, col3, pk2
36, 62, 1, 8, 51, 6, 77, 36, 93, 3
36, 92, 61, 43, 94, 1, 77, 36, 93, 3
18, 58, 20, 9, 47, 8, 4, 18, 70, 10
18, 58, 20, 9, 47, 8, 37, 18, 18, 2
78, 55, 83, 37, 3, 9, 64, 78, 3, 9
90, 8, 95, 26, 53, 9, 22, 90, 56, 4
66, 37, 89, 68, 93, 7, 25, 66, 8, 4
66, 37, 89, 68, 93, 7, 7, 66, 87, 6
78, 94, 16, 63, 32, 6, 64, 78, 3, 9
90, 13, 20, 25, 8, 10, 22, 90, 56, 4
60, 20, 35, 83, 55, 1, 92, 60, 86, 10
90, 45, 14, 54, 90, 4, 22, 90, 56, 4
60, 38, 4, 9, 30, 6, 92, 60, 86, 10
60, 97, 48, 61, 100, 1, 92, 60, 86, 10
36, 5, 42, 31, 28, 2, 77, 36, 93, 3
6, 15, 31, 97, 89, 10, 41, 6, 19, 7
6, 15, 31, 97, 89, 10, 99, 6, 33, 5
18, 83, 61, 77, 10, 7, 4, 18, 70, 10
18, 83, 61, 77, 10, 7, 37, 18, 18, 2
48, 96, 2, 88, 80, 1, 9, 48, 100, 8
24, 4, 93, 81, 41, 2, 68, 24, 41, 4
84, 74, 38, 34, 96, 6, 74, 84, 82, 1
60, 79, 48, 7, 6, 9, 92, 60, 86, 10
66, 50, 26, 91, 18, 1, 25, 66, 8, 4
66, 50, 26, 91, 18, 1, 7, 66, 87, 6
84, 64, 5, 30, 19, 6, 74, 84, 82, 1
90, 85, 58, 83, 59, 4, 22, 90, 56, 4
48, 87, 44, 29, 43, 3, 9, 48, 100, 8
24, 13, 57, 72, 43, 4, 68, 24, 41, 4
36, 72, 1, 42, 15, 10, 77, 36, 93, 3
78, 39, 2, 76, 47, 10, 64, 78, 3, 9
48, 48, 38, 9, 82, 6, 9, 48, 100, 8
24, 2, 100, 91, 45, 2, 68, 24, 41, 4
84, 5, 9, 62, 51, 8, 74, 84, 82, 1
6, 97, 88, 6, 65, 2, 41, 6, 19, 7
6, 97, 88, 6, 65, 2, 99, 6, 33, 5
12, 5, 87, 72, 70, 8, 95, 12, 97, 2
90, 47, 43, 77, 5, 3, 22, 90, 56, 4
48, 53, 30, 96, 2, 6, 9, 48, 100, 8
24, 45, 31, 81, 18, 5, 68, 24, 41, 4
48, 54, 20, 25, 75, 10, 9, 48, 100, 8
18, 8, 33, 43, 90, 2, 4, 18, 70, 10
18, 8, 33, 43, 90, 2, 37, 18, 18, 2
78, 39, 44, 83, 26, 8, 64, 78, 3, 9
84, 45, 28, 39, 6, 5, 74, 84, 82, 1
84, 46, 1, 48, 70, 6, 74, 84, 82, 1
90, 35, 91, 27, 62, 10, 22, 90, 56, 4
90, 85, 6, 11, 83, 7, 22, 90, 56, 4
12, 93, 82, 41, 19, 8, 95, 12, 97, 2
90, 64, 91, 97, 37, 4, 22, 90, 56, 4
90, 96, 10, 7, 53, 1, 22, 90, 56, 4
60, 15, 42, 47, 35, 7, 92, 60, 86, 10
48, 42, 26, 49, 7, 1, 9, 48, 100, 8
48, 66, 27, 39, 43, 5, 9, 48, 100, 8
30, 14, 26, 83, 37, 1, 11, 30, 65, 1
30, 14, 26, 83, 37, 1, 54, 30, 45, 7
48, 59, 77, 23, 16, 9, 9, 48, 100, 8
48, 57, 99, 32, 5, 3, 9, 48, 100, 8
24, 71, 75, 64, 55, 6, 68, 24, 41, 4
24, 84, 40, 60, 54, 7, 68, 24, 41, 4
48, 2, 96, 99, 4, 7, 9, 48, 100, 8
48, 57, 89, 24, 32, 10, 9, 48, 100, 8
30, 76, 45, 47, 84, 2, 11, 30, 65, 1
30, 76, 45, 47, 84, 2, 54, 30, 45, 7
48, 2, 97, 85, 46, 6, 9, 48, 100, 8
78, 1, 30, 44, 23, 10, 64, 78, 3, 9
60, 67, 46, 100, 65, 1, 92, 60, 86, 10
18, 100, 73, 39, 73, 1, 4, 18, 70, 10
18, 100, 73, 39, 73, 1, 37, 18, 18, 2
24, 67, 25, 79, 97, 4, 68, 24, 41, 4
48, 3, 37, 42, 1, 1, 9, 48, 100, 8
18, 67, 13, 98, 29, 7, 4, 18, 70, 10
18, 67, 13, 98, 29, 7, 37, 18, 18, 2
36, 47, 82, 76, 67, 7, 77, 36, 93, 3
84, 84, 40, 20, 90, 3, 74, 84, 82, 1
30, 60, 57, 83, 68, 4, 11, 30, 65, 1
30, 60, 57, 83, 68, 4, 54, 30, 45, 7
6, 71, 51, 24, 57, 9, 41, 6, 19, 7
6, 71, 51, 24, 57, 9, 99, 6, 33, 5
