col1,col2,col3,col4,col5,pk
16,18,72,55,45,5
86,22,33,27,17,10
15,41,56,65,77,2
88,88,58,93,24,5
45,77,1,6,77,9
26,60,67,13,80,9
59,42,81,18,17,6
64,42,51,3,49,5
7,92,60,82,66,3
77,6,27,68,49,2
53,10,40,88,53,9
14,100,63,6,62,4
33,1,71,4,65,1
16,85,62,99,25,4
36,62,1,8,51,6
79,32,7,37,51,1
16,41,14,12,32,4
36,92,61,43,94,1
93,81,57,99,57,7
22,74,27,20,92,3
56,24,89,31,12,2
22,100,58,65,36,6
3,9,79,4,11,8
18,58,20,9,47,8
78,55,83,37,3,9
90,8,95,26,53,9
64,9,54,19,43,2
71,1,35,28,1,4
91,82,11,48,58,5
63,33,24,98,37,2
15,100,63,73,79,6
38,88,77,23,56,6
3,58,9,10,63,8
13,58,26,62,53,7
67,6,90,95,65,4
34,66,70,17,70,8
85,87,1,23,9,8
5,33,84,70,85,9
95,95,36,13,83,3
38,19,97,90,44,6
26,25,81,87,13,2
49,85,24,71,3,3
13,88,100,77,11,7
66,37,89,68,93,7
16,95,30,71,35,3
89,69,74,28,81,2
95,86,66,17,78,7
1,30,32,67,48,5
5,83,55,48,55,9
93,51,57,96,82,10
94,89,64,35,88,9
35,88,58,70,37,2
52,66,16,73,65,4
1,18,54,79,72,3
78,94,16,63,32,6
56,67,44,51,21,4
72,70,82,6,78,5
75,11,64,23,47,4
96,89,66,28,2,5
21,6,33,27,21,10
56,79,76,19,21,10
100,41,61,94,88,7
65,6,16,33,61,1
16,44,4,64,29,3
93,32,66,37,69,8
62,87,100,67,76,6
11,47,60,42,46,5
90,13,20,25,8,10
60,20,35,83,55,1
90,45,14,54,90,4
65,43,41,71,50,6
52,22,6,82,5,4
60,38,4,9,30,6
82,15,61,76,84,2
54,100,2,97,22,7
25,30,74,1,13,8
40,100,2,54,21,4
91,60,7,98,22,3
95,9,63,57,43,4
34,28,46,38,19,7
28,98,58,29,96,4
15,26,85,91,27,6
74,76,38,14,82,10
29,31,39,55,90,6
27,50,3,19,35,5
83,94,55,42,86,3
57,88,31,7,28,3
53,19,25,18,10,2
54,36,19,90,41,2
81,18,5,51,68,9
65,55,81,67,36,9
34,42,19,70,50,4
63,3,94,34,1,1
47,78,6,5,62,3
63,95,22,51,21,10
59,5,15,20,25,8
87,23,32,86,24,3
77,99,8,53,49,1
83,82,3,28,21,9
74,79,26,63,96,8
14,35,31,94,65,5
64,79,88,3,4,9
60,97,48,61,100,1
32,16,34,53,94,7
36,5,42,31,28,2
77,19,98,42,35,10
97,25,68,44,22,8
42,28,75,85,41,8
67,78,54,38,12,8
53,4,83,61,60,3
80,19,50,56,85,4
87,44,50,55,36,4
62,49,77,36,56,9
56,89,3,74,75,5
37,89,82,25,38,3
77,65,25,54,86,5
6,15,31,97,89,10
39,28,94,69,17,6
38,20,10,52,76,1
35,50,28,46,92,9
64,51,88,78,65,9
41,3,14,31,52,10
69,49,67,56,14,3
20,38,28,55,32,6
26,1,30,40,99,1
34,61,1,76,55,1
34,80,63,16,39,5
86,53,35,74,38,1
20,50,32,72,82,2
59,91,88,5,99,9
5,99,77,45,78,9
95,40,91,82,16,5
47,17,27,95,78,3
4,49,47,37,61,4
8,19,94,14,25,3
51,96,55,4,41,3
18,83,61,77,10,7
16,86,98,20,90,7
52,34,16,48,86,5
27,54,82,64,29,6
48,96,2,88,80,1
54,77,79,44,96,4
91,15,50,73,79,3
47,13,40,51,91,6
21,22,10,4,83,10
99,61,80,100,29,9
77,13,87,38,59,10
45,30,45,100,87,6
88,39,89,47,4,10
59,87,78,82,74,10
38,72,57,67,80,3
72,40,78,84,88,5
24,4,93,81,41,2
96,59,70,61,35,10
84,74,38,34,96,6
93,16,80,46,5,10
60,79,48,7,6,9
65,2,16,5,4,7
95,79,76,44,2,9
66,50,26,91,18,1
52,35,70,14,2,2
80,83,31,93,77,9
84,64,5,30,19,6
63,72,46,5,12,5
90,85,58,83,59,4
42,38,45,16,41,3
75,60,81,19,94,5
48,87,44,29,43,3
39,2,20,77,27,9
82,24,26,2,37,7
19,42,57,66,55,5
43,72,19,8,87,7
39,89,89,68,1,6
53,93,69,95,80,3
57,55,96,30,2,7
72,74,56,93,86,4
42,53,57,31,51,4
24,13,57,72,43,4
45,87,34,43,82,6
71,32,63,11,2,10
33,52,83,40,21,10
38,39,99,21,56,1
20,26,48,78,61,5
34,13,4,23,10,4
13,96,14,47,94,6
10,80,44,73,89,9
80,49,76,90,60,6
82,16,31,51,64,2
99,6,77,2,54,10
97,8,42,41,57,10
37,29,14,84,4,6
98,23,12,18,91,10
1,2,26,56,31,3
57,32,21,11,40,6
19,52,41,100,89,9
80,76,53,29,16,10
26,10,76,36,14,4
53,85,94,73,35,2
49,94,42,36,82,2
33,31,88,3,80,10
61,91,31,8,2,3
32,65,87,74,8,5
29,42,21,44,38,3
82,55,42,21,30,7
33,66,46,33,88,9
67,91,44,20,99,9
13,75,89,10,83,1
80,66,50,86,36,4
5,16,7,5,36,7
2,23,92,82,85,1
79,98,12,45,78,1
35,27,89,22,91,9
82,20,56,43,87,1
4,7,3,39,3,3
38,68,51,64,7,1
47,12,48,3,97,5
36,72,1,42,15,10
72,47,29,61,28,10
86,78,55,12,64,1
49,67,71,93,20,4
17,12,77,56,89,4
21,52,15,69,66,9
78,39,2,76,47,10
79,94,44,26,92,8
14,65,21,17,91,9
67,58,49,26,9,1
91,63,5,70,74,9
62,99,75,58,39,10
37,93,18,25,81,2
93,1,72,22,62,3
88,36,85,65,12,2
48,48,38,9,82,6
40,13,66,42,67,6
64,66,55,45,53,6
26,65,47,15,30,7
24,2,100,91,45,2
33,81,82,39,70,8
91,20,53,24,14,6
84,5,9,62,51,8
43,27,54,7,82,3
6,97,88,6,65,2
12,5,87,72,70,8
68,95,11,65,47,5
83,22,33,70,11,9
71,62,43,1,68,10
52,80,100,93,68,5
90,47,43,77,5,3
48,53,30,96,2,6
21,84,80,3,49,5
95,2,98,91,59,6
72,86,83,82,50,6
75,39,48,42,24,10
77,11,11,39,62,10
79,90,63,19,12,9
49,87,67,90,28,1
27,10,66,39,40,2
24,45,31,81,18,5
65,38,19,82,45,4
4,26,85,5,60,10
8,56,16,47,67,1
55,10,21,100,2,5
69,70,33,48,62,4
48,54,20,25,75,10
83,92,68,35,11,5
15,67,73,66,40,6
70,1,56,11,51,4
34,56,69,38,3,1
47,80,72,22,30,10
35,29,71,6,100,3
26,15,57,12,61,2
64,23,70,44,53,2
67,33,52,66,76,6
62,4,1,12,5,6
99,6,94,36,36,5
58,71,48,38,98,3
76,56,87,89,26,1
75,21,95,59,93,4
18,8,33,43,90,2
65,85,41,45,78,7
95,47,20,74,75,2
11,21,67,14,23,2
26,99,46,83,19,3
27,40,70,51,60,6
51,11,16,54,40,8
19,2,27,30,10,6
59,8,71,89,70,4
26,87,60,41,55,2
98,7,44,84,72,4
64,4,7,71,42,1
2,42,82,72,6,9
89,4,15,26,65,5
78,39,44,83,26,8
69,84,57,39,6,5
55,74,21,13,1,10
31,87,55,3,83,10
65,23,5,34,43,5
80,77,66,68,25,1
32,60,8,9,59,4
98,95,100,66,60,3
86,72,86,48,62,7
94,81,3,92,62,6
29,100,34,72,98,9
1,53,13,10,38,8
37,11,100,97,66,5
95,80,19,67,71,4
45,49,40,30,45,2
84,45,28,39,6,5
77,79,34,91,41,2
84,46,1,48,70,6
79,60,34,1,64,8
59,28,40,40,69,8
64,94,73,99,42,3
26,88,59,29,2,7
95,89,51,77,97,6
52,33,30,55,98,10
50,99,41,97,51,2
68,44,82,98,33,2
59,97,30,63,41,9
90,35,91,27,62,10
90,85,6,11,83,7
32,48,94,69,43,2
12,93,82,41,19,8
67,42,36,84,38,6
81,23,34,85,66,9
16,61,24,16,94,3
100,16,52,14,68,8
16,89,39,72,21,10
88,47,33,41,58,9
37,78,74,56,35,8
19,77,60,11,100,6
34,82,55,35,22,2
10,40,2,29,32,5
71,5,90,41,16,1
37,34,52,39,13,5
93,21,79,37,20,9
27,54,17,65,73,8
40,15,28,86,84,9
5,70,54,96,1,6
23,74,49,2,27,6
82,98,42,16,88,3
44,78,10,99,36,4
71,8,9,20,31,3
98,11,26,63,20,1
83,86,18,55,30,7
68,82,37,46,42,1
21,23,28,1,88,6
96,60,65,99,70,3
38,47,49,31,11,1
94,79,15,4,60,1
26,100,100,90,88,7
44,37,44,29,36,2
40,55,25,11,80,8
58,88,15,26,90,8
76,31,16,91,54,5
90,64,91,97,37,4
90,96,10,7,53,1
35,49,36,79,74,3
17,38,93,73,33,6
43,50,65,16,41,4
43,26,6,78,5,8
60,15,42,47,35,7
93,58,2,20,79,5
77,30,72,31,32,9
1,29,8,46,71,8
92,44,74,58,3,1
13,85,98,80,54,1
43,92,37,83,67,4
68,38,70,11,99,6
80,38,37,18,4,8
62,22,28,88,3,8
48,42,26,49,7,1
26,66,16,67,33,6
98,64,10,7,70,7
1,3,53,97,77,5
71,5,11,95,25,8
95,94,79,83,31,8
33,28,54,25,14,8
13,56,91,82,85,10
48,66,27,39,43,5
30,14,26,83,37,1
92,57,81,20,50,7
48,59,77,23,16,9
100,13,62,30,23,10
10,63,93,48,52,4
28,22,17,62,75,10
22,49,90,26,17,2
48,57,99,32,5,3
1,54,42,60,94,3
56,79,15,23,17,2
31,65,89,45,45,9
25,12,1,4,77,2
24,71,75,64,55,6
86,12,7,92,95,8
52,47,93,36,89,7
14,90,63,83,68,4
49,48,29,95,90,10
47,17,9,21,75,9
42,90,44,67,94,7
100,79,59,38,52,5
51,83,41,15,16,5
81,98,71,18,79,6
81,39,64,40,11,9
75,33,83,83,66,9
95,69,25,3,97,8
80,64,95,57,74,1
72,31,33,58,56,9
31,68,7,32,39,3
27,2,23,37,92,1
64,16,61,73,37,5
45,46,75,73,78,9
35,24,63,50,40,4
11,65,2,17,89,3
97,84,33,49,46,10
10,75,78,25,73,3
28,61,93,70,99,9
62,69,71,52,25,1
27,94,21,3,66,2
67,89,96,34,30,7
24,84,40,60,54,7
27,12,30,98,60,6
46,34,11,53,16,1
82,74,23,93,79,3
89,42,9,88,51,6
57,98,66,41,29,4
73,1,94,92,97,5
52,38,22,92,11,3
76,42,68,73,81,5
92,30,41,39,59,8
52,46,42,10,29,4
88,68,78,27,82,8
71,81,7,69,80,10
22,45,77,56,10,6
93,28,23,45,47,7
13,89,40,44,95,4
48,2,96,99,4,7
46,42,4,95,35,3
48,57,89,24,32,10
30,76,45,47,84,2
8,44,86,77,49,5
70,19,82,12,21,9
49,27,19,29,30,4
48,2,97,85,46,6
64,38,3,92,17,3
37,11,31,100,34,7
22,4,76,51,52,2
56,41,37,51,19,7
38,46,37,64,44,10
89,53,14,82,73,6
35,65,32,17,20,10
40,82,86,90,86,2
55,69,67,54,100,5
58,36,83,30,98,3
83,77,7,90,51,1
92,15,51,44,84,4
71,89,40,72,13,6
61,83,33,34,54,7
51,88,92,93,88,10
62,91,52,12,44,7
57,30,53,74,26,4
22,66,45,46,39,5
78,1,30,44,23,10
53,73,29,14,53,10
33,40,7,58,14,3
97,68,98,15,83,9
60,67,46,100,65,1
94,13,15,64,64,9
92,73,22,56,1,8
55,46,97,11,82,1
63,65,14,56,24,6
72,84,6,91,32,4
4,37,13,28,45,10
58,10,49,94,82,3
23,75,6,37,44,8
93,81,52,43,65,10
68,64,78,17,89,2
20,50,74,51,61,9
99,70,63,10,94,1
18,100,73,39,73,1
86,8,35,29,71,10
91,70,33,11,50,9
91,28,27,57,87,2
44,37,70,57,9,7
72,70,50,38,40,5
45,39,72,85,55,10
98,76,59,20,12,8
86,90,49,42,72,10
72,27,61,52,13,8
55,72,87,45,89,10
24,67,25,79,97,4
34,82,21,32,81,5
47,61,55,38,17,5
43,53,8,40,39,1
75,69,82,31,1,10
19,80,58,18,43,9
59,94,93,74,58,1
28,45,70,20,15,6
57,75,54,35,93,9
26,37,53,17,87,4
3,36,5,43,16,1
41,58,54,12,80,10
5,68,3,62,94,7
25,33,11,97,16,5
5,39,84,54,6,4
93,89,90,68,69,8
48,3,37,42,1,1
10,34,60,69,31,7
82,21,74,53,39,3
18,67,13,98,29,7
74,39,76,40,50,2
56,30,35,52,53,10
56,1,71,88,79,5
46,21,72,26,69,7
65,97,62,13,38,1
61,92,91,68,41,10
20,73,30,69,63,1
36,47,82,76,67,7
84,84,40,20,90,3
8,77,23,57,37,3
70,19,54,30,69,7
7,7,4,3,30,4
75,86,1,89,49,3
30,60,57,83,68,4
6,71,51,24,57,9
87,83,31,84,7,10
3,27,37,37,27,4
75,34,64,6,59,8
38,31,83,39,7,8
71,53,53,96,64,9
86,82,9,5,78,1
86,56,83,68,41,1
9,28,41,92,67,5
98,62,89,89,55,5
69,12,18,50,58,1
60,35,86,96,38,10
22,74,96,51,19,4
70,80,3,88,82,3
74,33,77,100,46,7
54,49,9,36,48,3
27,75,62,58,94,10
44,60,30,83,11,2
18,35,11,65,11,1
11,22,16,9,39,2
93,100,31,56,7,9
48,21,25,9,26,5
80,84,24,24,49,3
96,25,69,51,48,3
81,15,81,41,29,3
100,20,3,11,38,2
67,41,64,62,1,10
92,60,37,50,99,4
38,48,33,20,97,10
48,89,74,91,41,8
95,49,79,65,55,6
23,99,19,50,78,9
64,7,49,40,73,1
15,94,43,1,7,6
95,60,41,61,43,3
95,42,83,64,5,10
33,87,53,76,13,10
62,21,5,72,98,5
14,72,86,25,8,8
3,7,96,48,28,8
10,94,74,47,61,3
20,65,93,16,84,7
21,23,6,68,37,9
27,77,95,15,3,3
15,82,34,54,73,6
53,37,7,84,52,7
59,93,5,97,47,3
58,37,85,9,44,9
3,79,75,90,25,6
7,71,54,64,17,4
5,20,93,82,72,5
70,9,5,36,58,4
75,58,45,39,10,9
49,27,62,15,95,1
84,11,8,29,59,1
98,57,26,6,97,2
3,53,11,46,59,4
97,84,40,61,99,9
47,11,52,88,34,3
4,68,60,59,10,3
91,52,20,44,60,9
29,40,39,82,38,9
57,80,25,85,66,7
59,17,92,82,78,2
27,76,13,76,90,6
35,16,43,54,36,3
64,28,29,61,78,3
37,59,29,27,67,7
76,9,55,86,73,10
99,13,39,2,24,9
36,19,34,24,64,8
14,19,49,90,66,2
29,53,82,88,77,6
94,58,41,65,9,2
72,14,34,42,20,7
66,19,2,18,50,7
64,44,31,75,24,5
7,96,11,59,93,9
94,17,99,21,35,3
93,57,74,37,90,7
36,97,22,2,72,9
74,69,32,41,62,5
82,92,76,14,1,8
94,1,53,10,62,10
39,75,26,56,10,6
4,61,12,90,29,8
55,61,55,81,76,7
10,71,83,47,44,3
83,22,33,69,8,3
3,5,78,45,6,10
30,100,4,55,22,6
11,89,44,78,100,3
46,32,64,86,78,9
1,52,57,81,79,5
32,66,61,3,81,1
12,5,58,78,91,3
51,30,64,22,88,4
